"","Date","BURGLARY","FELONY ASSAULT","GRAND LARCENY","GRAND LARCENY OF MOTOR VEHICLE","MURDER & NON-NEGL. MANSLAUGHTE","RAPE","ROBBERY"
"576",2007-07-30,88,49,137,39,1,6,61
"577",2007-07-31,67,67,113,38,2,2,79
"578",2007-08-01,79,64,231,46,0,12,59
"579",2007-08-02,77,42,135,40,1,2,60
"580",2007-08-03,93,53,162,41,1,5,66
"581",2007-08-04,52,56,127,36,4,8,62
"582",2007-08-05,61,88,96,29,2,5,47
"583",2007-08-06,72,41,118,44,0,3,73
"584",2007-08-07,82,47,145,39,2,2,76
"585",2007-08-08,58,32,130,36,0,4,53
"586",2007-08-09,84,37,127,27,1,2,58
"587",2007-08-10,87,38,146,52,0,2,74
"588",2007-08-11,47,69,130,31,4,3,53
"589",2007-08-12,52,88,98,38,4,5,68
"590",2007-08-13,67,46,107,44,1,2,67
"591",2007-08-14,67,48,109,32,0,1,62
"592",2007-08-15,85,56,144,37,0,3,66
"593",2007-08-16,70,60,100,29,2,3,61
"594",2007-08-17,79,56,137,42,1,4,69
"595",2007-08-18,56,74,101,27,1,3,53
"596",2007-08-19,46,89,96,41,0,5,49
"597",2007-08-20,79,48,134,39,0,2,76
"598",2007-08-21,69,27,92,38,0,3,75
"599",2007-08-22,64,37,124,56,3,3,48
"600",2007-08-23,65,47,111,41,2,1,56
"601",2007-08-24,80,45,155,51,0,2,61
"602",2007-08-25,48,78,127,38,2,3,72
"603",2007-08-26,43,74,106,44,1,5,69
"604",2007-08-27,70,52,121,42,1,2,66
"605",2007-08-28,62,43,136,42,1,3,65
"606",2007-08-29,52,33,111,36,0,6,68
"607",2007-08-30,68,49,118,45,3,1,58
"608",2007-08-31,87,62,148,35,1,5,60
"609",2007-09-01,51,81,190,30,1,16,60
"610",2007-09-02,53,64,105,39,0,6,49
"611",2007-09-03,50,68,87,35,4,6,51
"612",2007-09-04,60,39,133,38,0,8,64
"613",2007-09-05,54,46,131,37,1,3,67
"614",2007-09-06,62,45,128,34,0,2,52
"615",2007-09-07,91,51,153,50,0,3,59
"616",2007-09-08,49,61,135,49,1,2,75
"617",2007-09-09,41,72,100,39,1,4,56
"618",2007-09-10,67,51,121,44,2,1,78
"619",2007-09-11,62,46,118,32,2,3,64
"620",2007-09-12,66,50,135,30,1,5,68
"621",2007-09-13,56,47,119,36,1,3,57
"622",2007-09-14,62,42,155,45,1,3,72
"623",2007-09-15,50,57,137,44,2,5,78
"624",2007-09-16,41,61,93,35,1,3,53
"625",2007-09-17,52,33,144,48,0,2,72
"626",2007-09-18,59,46,123,29,0,2,78
"627",2007-09-19,75,34,118,30,1,1,64
"628",2007-09-20,79,39,155,39,2,2,68
"629",2007-09-21,90,53,165,33,0,5,76
"630",2007-09-22,52,56,122,33,0,4,68
"631",2007-09-23,45,71,111,32,0,7,59
"632",2007-09-24,49,45,127,48,1,3,74
"633",2007-09-25,50,47,129,35,3,2,81
"634",2007-09-26,80,52,127,46,1,2,76
"635",2007-09-27,74,52,151,30,0,2,81
"636",2007-09-28,98,68,141,55,1,2,76
"637",2007-09-29,39,62,128,47,2,1,70
"638",2007-09-30,65,63,107,39,4,3,72
"639",2007-10-01,64,43,186,36,2,14,79
"640",2007-10-02,60,46,145,24,1,4,76
"641",2007-10-03,81,43,124,25,0,3,65
"642",2007-10-04,61,41,129,42,0,3,68
"643",2007-10-05,68,51,153,48,2,4,83
"644",2007-10-06,47,76,109,36,9,4,65
"645",2007-10-07,51,64,89,28,1,6,75
"646",2007-10-08,41,41,119,29,0,2,62
"647",2007-10-09,68,40,115,44,3,5,81
"648",2007-10-10,66,55,139,33,2,3,67
"649",2007-10-11,73,35,120,38,0,2,70
"650",2007-10-12,94,36,153,42,2,3,67
"651",2007-10-13,32,48,119,36,2,6,50
"652",2007-10-14,42,53,88,34,0,2,63
"653",2007-10-15,53,34,147,35,0,3,60
"654",2007-10-16,55,45,140,39,2,4,58
"655",2007-10-17,75,35,129,33,0,6,79
"656",2007-10-18,64,52,135,49,0,1,78
"657",2007-10-19,85,47,127,39,4,0,72
"658",2007-10-20,49,75,133,47,1,4,80
"659",2007-10-21,30,93,101,38,2,4,78
"660",2007-10-22,62,36,135,29,0,5,66
"661",2007-10-23,62,53,156,32,2,3,98
"662",2007-10-24,81,51,119,40,1,2,66
"663",2007-10-25,74,37,127,34,3,3,81
"664",2007-10-26,91,33,130,45,0,5,89
"665",2007-10-27,52,53,139,39,1,8,80
"666",2007-10-28,31,76,94,41,6,4,63
"667",2007-10-29,65,32,101,44,0,0,87
"668",2007-10-30,58,44,126,44,1,4,71
"669",2007-10-31,63,65,154,34,2,3,84
"670",2007-11-01,59,62,207,32,2,12,74
"671",2007-11-02,64,42,151,39,2,3,61
"672",2007-11-03,49,44,124,48,3,3,53
"673",2007-11-04,49,56,108,33,1,2,54
"674",2007-11-05,68,40,122,52,4,3,72
"675",2007-11-06,47,39,123,43,2,2,74
"676",2007-11-07,61,35,119,25,2,4,71
"677",2007-11-08,67,40,130,33,1,3,71
"678",2007-11-09,94,43,148,32,4,1,79
"679",2007-11-10,41,51,160,42,2,4,54
"680",2007-11-11,36,56,97,23,0,4,62
"681",2007-11-12,58,26,96,46,1,2,58
"682",2007-11-13,59,44,127,40,0,2,73
"683",2007-11-14,62,37,123,31,1,0,63
"684",2007-11-15,65,40,165,31,1,3,65
"685",2007-11-16,73,35,142,37,0,1,72
"686",2007-11-17,54,62,131,31,1,2,66
"687",2007-11-18,42,55,108,46,4,4,52
"688",2007-11-19,64,34,132,32,0,2,59
"689",2007-11-20,71,30,137,33,3,1,64
"690",2007-11-21,104,35,149,32,2,4,79
"691",2007-11-22,42,42,68,38,0,1,38
"692",2007-11-23,71,42,124,42,1,4,43
"693",2007-11-24,62,49,119,36,0,2,44
"694",2007-11-25,45,58,90,40,0,3,64
"695",2007-11-26,64,41,140,31,1,3,87
"696",2007-11-27,71,33,113,31,3,2,67
"697",2007-11-28,57,33,126,31,1,3,60
"698",2007-11-29,79,42,134,24,0,3,67
"699",2007-11-30,64,47,160,44,1,2,87
"700",2007-12-01,44,35,184,48,2,8,54
"701",2007-12-02,28,48,95,27,3,3,41
"702",2007-12-03,65,37,179,37,1,3,67
"703",2007-12-04,72,38,119,38,0,2,64
"704",2007-12-05,72,44,108,30,1,1,61
"705",2007-12-06,39,45,157,41,2,2,60
"706",2007-12-07,88,39,163,46,1,4,77
"707",2007-12-08,41,39,128,30,2,2,64
"708",2007-12-09,48,51,101,31,2,3,58
"709",2007-12-10,65,50,131,52,1,6,64
"710",2007-12-11,56,38,141,45,0,4,55
"711",2007-12-12,72,37,161,35,0,1,69
"712",2007-12-13,78,36,124,45,0,6,62
"713",2007-12-14,77,38,160,43,1,6,62
"714",2007-12-15,58,47,169,40,1,4,57
"715",2007-12-16,44,47,114,25,0,4,64
"716",2007-12-17,74,49,132,36,2,2,57
"717",2007-12-18,51,41,153,33,2,3,76
"718",2007-12-19,64,41,143,30,1,0,73
"719",2007-12-20,78,45,156,46,1,2,86
"720",2007-12-21,97,46,174,41,5,5,110
"721",2007-12-22,64,56,149,56,1,3,74
"722",2007-12-23,41,52,112,32,4,4,65
"723",2007-12-24,77,51,152,36,5,1,68
"724",2007-12-25,45,55,61,38,1,4,43
"725",2007-12-26,38,28,107,33,3,5,66
"726",2007-12-27,41,34,103,36,1,3,48
"727",2007-12-28,90,31,134,43,0,2,61
"728",2007-12-29,57,45,111,29,1,4,69
"729",2007-12-30,50,48,104,27,4,5,60
"730",2007-12-31,68,33,150,45,1,2,65
"731",2008-01-01,41,130,223,29,4,47,53
"732",2008-01-02,55,24,102,35,1,2,49
"733",2008-01-03,65,32,104,33,0,4,63
"734",2008-01-04,71,35,132,38,3,6,61
"735",2008-01-05,50,50,126,43,3,4,66
"736",2008-01-06,43,50,95,22,1,2,73
"737",2008-01-07,71,46,121,34,1,4,73
"738",2008-01-08,74,36,129,37,0,6,70
"739",2008-01-09,68,26,117,40,0,4,55
"740",2008-01-10,57,51,146,36,3,2,70
"741",2008-01-11,76,50,119,36,0,2,88
"742",2008-01-12,49,35,119,28,1,1,62
"743",2008-01-13,45,73,99,35,3,4,40
"744",2008-01-14,42,35,118,23,1,4,72
"745",2008-01-15,47,27,139,37,1,4,60
"746",2008-01-16,63,26,117,31,1,3,73
"747",2008-01-17,70,26,118,29,0,2,57
"748",2008-01-18,79,41,116,31,0,3,65
"749",2008-01-19,54,30,97,37,0,3,51
"750",2008-01-20,38,34,82,33,3,2,60
"751",2008-01-21,49,47,88,30,2,4,49
"752",2008-01-22,61,36,116,39,1,5,73
"753",2008-01-23,59,29,105,24,0,3,61
"754",2008-01-24,49,35,134,28,2,2,63
"755",2008-01-25,74,28,136,38,1,1,64
"756",2008-01-26,42,42,96,33,2,3,56
"757",2008-01-27,39,49,88,39,2,3,53
"758",2008-01-28,67,39,110,39,1,0,69
"759",2008-01-29,55,25,108,30,1,0,45
"760",2008-01-30,60,28,110,39,1,3,67
"761",2008-01-31,57,33,122,35,0,1,45
"762",2008-02-01,74,35,183,29,2,11,50
"763",2008-02-02,44,38,110,38,2,4,60
"764",2008-02-03,38,62,90,32,1,3,59
"765",2008-02-04,66,36,132,33,1,4,54
"766",2008-02-05,57,49,123,24,1,3,62
"767",2008-02-06,63,49,98,23,0,3,70
"768",2008-02-07,59,39,108,29,0,1,57
"769",2008-02-08,68,36,134,32,0,7,52
"770",2008-02-09,37,53,109,24,2,0,53
"771",2008-02-10,31,40,67,29,0,5,37
"772",2008-02-11,47,23,80,27,0,3,44
"773",2008-02-12,59,34,107,30,1,1,45
"774",2008-02-13,68,30,103,16,2,5,53
"775",2008-02-14,48,39,104,24,0,7,50
"776",2008-02-15,56,41,144,24,1,5,72
"777",2008-02-16,40,53,91,37,3,2,49
"778",2008-02-17,35,43,68,30,0,3,38
"779",2008-02-18,44,32,92,30,1,1,50
"780",2008-02-19,51,33,111,27,1,4,45
"781",2008-02-20,47,19,109,31,1,3,44
"782",2008-02-21,60,19,99,33,1,4,37
"783",2008-02-22,47,27,118,24,2,6,45
"784",2008-02-23,47,38,102,35,2,2,50
"785",2008-02-24,24,42,79,29,2,3,38
"786",2008-02-25,55,40,100,33,1,4,39
"787",2008-02-26,46,40,89,23,1,2,57
"788",2008-02-27,62,40,124,19,0,1,63
"789",2008-02-28,42,27,111,25,0,1,39
"790",2008-02-29,48,43,108,31,2,1,44
"791",2008-03-01,47,37,152,34,1,15,52
"792",2008-03-02,26,46,88,22,1,5,49
"793",2008-03-03,43,45,104,34,1,5,61
"794",2008-03-04,51,38,90,29,3,3,41
"795",2008-03-05,52,38,93,31,1,5,56
"796",2008-03-06,46,35,92,32,1,5,44
"797",2008-03-07,44,32,146,39,1,2,53
"798",2008-03-08,33,45,93,36,4,10,46
"799",2008-03-09,32,54,103,28,1,2,48
"800",2008-03-10,45,41,118,28,0,3,49
"801",2008-03-11,45,30,94,25,0,1,42
"802",2008-03-12,46,38,115,20,1,3,51
"803",2008-03-13,51,37,114,30,2,2,64
"804",2008-03-14,69,39,154,41,3,5,58
"805",2008-03-15,37,66,118,42,5,4,48
"806",2008-03-16,32,46,74,25,2,5,50
"807",2008-03-17,53,51,88,25,0,2,51
"808",2008-03-18,44,40,114,31,0,2,63
"809",2008-03-19,48,40,104,26,1,3,58
"810",2008-03-20,54,35,133,28,1,2,60
"811",2008-03-21,53,42,132,28,1,4,41
"812",2008-03-22,46,46,98,29,2,6,56
"813",2008-03-23,39,63,71,33,2,4,40
"814",2008-03-24,41,36,93,29,1,4,51
"815",2008-03-25,54,36,113,29,3,4,49
"816",2008-03-26,50,51,116,25,1,0,50
"817",2008-03-27,60,22,101,32,0,1,54
"818",2008-03-28,70,44,129,38,2,4,57
"819",2008-03-29,42,51,87,29,2,3,50
"820",2008-03-30,31,45,89,25,1,2,46
"821",2008-03-31,57,28,112,31,3,1,67
"822",2008-04-01,54,44,145,35,2,14,58
"823",2008-04-02,47,33,105,27,1,4,55
"824",2008-04-03,62,32,113,33,7,2,61
"825",2008-04-04,63,44,123,28,1,2,63
"826",2008-04-05,45,55,120,38,1,0,44
"827",2008-04-06,32,59,80,23,1,2,53
"828",2008-04-07,60,38,125,31,0,3,58
"829",2008-04-08,48,36,102,28,0,1,45
"830",2008-04-09,55,23,104,35,0,3,60
"831",2008-04-10,53,45,100,25,0,0,61
"832",2008-04-11,73,35,130,20,3,6,59
"833",2008-04-12,37,62,100,31,1,3,53
"834",2008-04-13,26,58,82,30,1,4,40
"835",2008-04-14,56,53,120,30,0,6,50
"836",2008-04-15,50,47,126,30,1,2,44
"837",2008-04-16,55,33,122,15,0,3,57
"838",2008-04-17,60,37,109,31,3,0,52
"839",2008-04-18,60,50,147,36,0,4,65
"840",2008-04-19,48,68,103,29,0,4,50
"841",2008-04-20,38,59,94,16,3,4,67
"842",2008-04-21,57,33,93,23,0,0,57
"843",2008-04-22,46,37,115,28,2,3,41
"844",2008-04-23,44,48,117,36,1,3,63
"845",2008-04-24,42,43,131,24,1,2,40
"846",2008-04-25,64,45,133,38,3,2,60
"847",2008-04-26,37,61,99,26,3,2,77
"848",2008-04-27,39,36,76,30,3,4,58
"849",2008-04-28,49,29,123,30,0,5,52
"850",2008-04-29,75,31,121,34,2,3,54
"851",2008-04-30,53,39,126,30,0,1,60
"852",2008-05-01,53,29,166,25,2,12,57
"853",2008-05-02,62,42,128,24,1,3,59
"854",2008-05-03,38,43,124,27,2,5,41
"855",2008-05-04,28,59,84,44,0,5,53
"856",2008-05-05,46,56,137,30,1,0,60
"857",2008-05-06,50,45,111,33,1,2,60
"858",2008-05-07,53,51,131,37,1,1,58
"859",2008-05-08,59,56,133,35,0,5,63
"860",2008-05-09,68,35,120,41,2,1,49
"861",2008-05-10,34,46,118,39,4,4,54
"862",2008-05-11,36,70,88,26,0,7,44
"863",2008-05-12,54,37,117,23,1,3,57
"864",2008-05-13,44,48,127,35,1,2,63
"865",2008-05-14,71,51,103,35,0,5,69
"866",2008-05-15,46,51,146,26,0,3,54
"867",2008-05-16,67,34,121,31,1,1,63
"868",2008-05-17,47,63,110,40,1,3,34
"869",2008-05-18,25,51,83,30,0,0,65
"870",2008-05-19,57,39,147,30,2,1,55
"871",2008-05-20,54,30,117,21,1,2,57
"872",2008-05-21,57,31,132,32,1,3,71
"873",2008-05-22,50,43,122,32,0,2,63
"874",2008-05-23,89,45,160,28,0,2,69
"875",2008-05-24,43,61,108,38,5,3,52
"876",2008-05-25,38,59,82,23,6,3,48
"877",2008-05-26,43,63,82,20,3,3,72
"878",2008-05-27,67,57,127,37,1,1,81
"879",2008-05-28,55,39,121,40,2,4,70
"880",2008-05-29,65,34,127,43,0,2,61
"881",2008-05-30,59,34,158,40,1,2,57
"882",2008-05-31,46,62,113,31,1,6,52
"883",2008-06-01,36,61,147,26,1,20,53
"884",2008-06-02,51,49,142,20,0,1,73
"885",2008-06-03,45,48,123,25,1,3,62
"886",2008-06-04,64,43,111,34,1,1,61
"887",2008-06-05,53,38,141,38,1,1,48
"888",2008-06-06,60,42,175,37,3,4,56
"889",2008-06-07,48,64,103,26,2,2,73
"890",2008-06-08,42,63,96,27,2,3,52
"891",2008-06-09,58,49,106,28,2,2,58
"892",2008-06-10,54,63,115,35,1,6,67
"893",2008-06-11,63,43,123,32,1,5,64
"894",2008-06-12,51,41,132,33,0,0,65
"895",2008-06-13,66,59,149,42,2,4,69
"896",2008-06-14,35,69,127,44,1,4,63
"897",2008-06-15,44,63,95,26,7,5,48
"898",2008-06-16,55,45,140,31,0,5,74
"899",2008-06-17,73,27,119,38,0,3,72
"900",2008-06-18,62,37,115,42,0,2,53
"901",2008-06-19,51,41,123,38,2,2,69
"902",2008-06-20,77,47,164,28,2,6,73
"903",2008-06-21,52,75,122,35,4,3,62
"904",2008-06-22,32,64,106,44,2,3,55
"905",2008-06-23,57,31,121,34,3,6,52
"906",2008-06-24,51,52,121,40,4,5,76
"907",2008-06-25,65,48,119,47,1,3,63
"908",2008-06-26,46,52,130,31,1,3,78
"909",2008-06-27,81,57,124,28,2,5,60
"910",2008-06-28,47,72,112,39,1,3,51
"911",2008-06-29,47,70,106,38,2,6,56
"912",2008-06-30,58,43,123,39,0,2,55
"913",2008-07-01,61,52,178,37,2,9,66
"914",2008-07-02,49,48,115,33,1,2,64
"915",2008-07-03,80,55,140,31,0,3,71
"916",2008-07-04,51,57,80,41,2,0,55
"917",2008-07-05,46,60,91,31,4,2,51
"918",2008-07-06,33,66,79,34,1,6,46
"919",2008-07-07,66,38,130,24,1,2,40
"920",2008-07-08,53,47,107,33,0,5,54
"921",2008-07-09,63,37,112,28,1,4,67
"922",2008-07-10,66,39,125,33,2,5,45
"923",2008-07-11,58,60,164,40,1,3,65
"924",2008-07-12,53,70,141,37,3,3,60
"925",2008-07-13,39,77,85,44,2,4,66
"926",2008-07-14,68,42,128,32,0,2,64
"927",2008-07-15,57,38,125,29,2,6,62
"928",2008-07-16,64,33,115,21,3,3,52
"929",2008-07-17,54,29,131,47,4,5,58
"930",2008-07-18,86,53,131,42,1,3,58
"931",2008-07-19,49,61,122,44,0,3,75
"932",2008-07-20,52,75,83,30,0,5,67
"933",2008-07-21,63,42,126,39,2,5,69
"934",2008-07-22,61,53,116,45,0,3,66
"935",2008-07-23,72,46,131,42,0,3,74
"936",2008-07-24,69,51,116,35,2,0,58
"937",2008-07-25,70,57,145,37,1,2,76
"938",2008-07-26,54,67,110,38,3,6,61
"939",2008-07-27,37,73,90,37,2,4,59
"940",2008-07-28,57,55,157,40,0,4,79
"941",2008-07-29,62,51,131,44,0,3,63
"942",2008-07-30,75,50,116,34,3,1,68
"943",2008-07-31,69,53,141,42,1,1,63
"944",2008-08-01,76,55,214,37,0,13,85
"945",2008-08-02,55,70,112,33,0,4,56
"946",2008-08-03,55,61,108,39,3,5,71
"947",2008-08-04,57,50,122,28,2,3,58
"948",2008-08-05,49,34,126,42,1,3,58
"949",2008-08-06,57,48,131,40,1,1,55
"950",2008-08-07,60,41,129,46,1,2,59
"951",2008-08-08,69,32,150,35,2,5,61
"952",2008-08-09,37,67,129,40,2,2,63
"953",2008-08-10,42,66,120,32,0,2,68
"954",2008-08-11,61,47,125,46,3,1,63
"955",2008-08-12,74,33,120,47,2,3,55
"956",2008-08-13,65,31,122,48,3,1,63
"957",2008-08-14,65,51,117,41,2,6,76
"958",2008-08-15,90,35,136,54,2,3,62
"959",2008-08-16,43,48,112,48,4,2,63
"960",2008-08-17,52,65,110,46,0,6,63
"961",2008-08-18,71,30,119,37,2,3,61
"962",2008-08-19,72,48,119,34,0,6,58
"963",2008-08-20,68,27,139,55,1,3,68
"964",2008-08-21,68,41,115,43,1,2,85
"965",2008-08-22,83,44,138,57,0,6,71
"966",2008-08-23,54,64,111,42,3,7,59
"967",2008-08-24,46,50,93,36,2,5,76
"968",2008-08-25,66,45,135,52,1,5,53
"969",2008-08-26,72,42,125,31,2,1,60
"970",2008-08-27,77,31,120,41,1,2,57
"971",2008-08-28,68,36,159,44,1,2,66
"972",2008-08-29,70,38,140,45,1,2,59
"973",2008-08-30,57,73,114,34,2,4,70
"974",2008-08-31,40,75,126,30,4,5,60
"975",2008-09-01,40,65,150,34,1,23,64
"976",2008-09-02,62,47,124,38,3,3,62
"977",2008-09-03,65,39,133,33,5,1,62
"978",2008-09-04,61,43,114,60,1,1,55
"979",2008-09-05,81,50,170,42,3,3,62
"980",2008-09-06,42,45,107,36,3,5,61
"981",2008-09-07,41,54,91,24,1,3,62
"982",2008-09-08,62,47,131,29,2,4,70
"983",2008-09-09,78,40,138,48,3,2,75
"984",2008-09-10,76,29,130,36,1,2,53
"985",2008-09-11,66,30,116,42,0,4,64
"986",2008-09-12,77,40,160,52,0,3,61
"987",2008-09-13,76,68,111,37,2,2,67
"988",2008-09-14,41,66,99,48,5,3,61
"989",2008-09-15,54,37,127,37,0,2,77
"990",2008-09-16,71,47,122,30,1,0,65
"991",2008-09-17,73,36,117,43,0,3,68
"992",2008-09-18,72,32,147,40,0,3,70
"993",2008-09-19,91,50,148,39,1,3,87
"994",2008-09-20,46,53,142,38,1,4,60
"995",2008-09-21,36,79,108,37,3,1,48
"996",2008-09-22,61,42,126,34,2,2,84
"997",2008-09-23,71,32,130,41,1,2,69
"998",2008-09-24,66,33,132,39,1,2,67
"999",2008-09-25,58,26,152,44,0,1,63
"1000",2008-09-26,106,39,131,31,2,5,76
"1001",2008-09-27,70,62,110,34,0,4,69
"1002",2008-09-28,49,78,86,51,4,3,67
"1003",2008-09-29,63,45,134,40,1,4,88
"1004",2008-09-30,55,45,127,27,3,1,79
"1005",2008-10-01,50,38,174,32,2,15,71
"1006",2008-10-02,78,47,107,40,1,2,62
"1007",2008-10-03,76,30,152,43,3,3,78
"1008",2008-10-04,61,43,123,37,3,6,63
"1009",2008-10-05,33,48,107,38,0,2,52
"1010",2008-10-06,62,30,128,38,1,0,78
"1011",2008-10-07,63,28,118,35,0,3,54
"1012",2008-10-08,64,27,127,34,1,6,66
"1013",2008-10-09,63,41,116,45,3,0,61
"1014",2008-10-10,83,52,134,45,2,4,76
"1015",2008-10-11,56,51,111,31,0,5,63
"1016",2008-10-12,44,55,103,36,0,9,77
"1017",2008-10-13,39,48,91,36,1,1,75
"1018",2008-10-14,78,43,143,41,3,1,66
"1019",2008-10-15,63,40,154,37,0,2,62
"1020",2008-10-16,70,33,132,26,0,2,63
"1021",2008-10-17,81,40,140,52,0,4,82
"1022",2008-10-18,47,49,116,44,2,3,75
"1023",2008-10-19,40,44,104,42,1,2,55
"1024",2008-10-20,67,25,136,49,1,3,81
"1025",2008-10-21,69,34,128,44,3,2,81
"1026",2008-10-22,57,32,104,38,1,3,60
"1027",2008-10-23,70,33,119,36,2,2,58
"1028",2008-10-24,76,53,154,42,2,2,83
"1029",2008-10-25,61,56,101,32,2,3,67
"1030",2008-10-26,36,45,109,39,3,2,61
"1031",2008-10-27,71,44,145,42,3,3,71
"1032",2008-10-28,67,34,86,37,0,1,69
"1033",2008-10-29,67,33,136,42,0,0,66
"1034",2008-10-30,69,36,136,35,0,1,70
"1035",2008-10-31,71,61,153,48,4,6,76
"1036",2008-11-01,54,78,173,32,0,12,65
"1037",2008-11-02,34,63,107,28,1,2,57
"1038",2008-11-03,71,36,114,27,0,3,80
"1039",2008-11-04,45,38,104,31,0,2,56
"1040",2008-11-05,84,52,126,37,1,1,68
"1041",2008-11-06,68,44,146,30,0,4,72
"1042",2008-11-07,82,52,141,41,1,1,88
"1043",2008-11-08,56,70,118,37,3,3,55
"1044",2008-11-09,33,60,111,29,2,3,70
"1045",2008-11-10,76,40,112,46,1,3,81
"1046",2008-11-11,55,29,104,34,2,1,59
"1047",2008-11-12,73,42,134,38,1,1,91
"1048",2008-11-13,80,34,113,28,0,4,62
"1049",2008-11-14,74,39,133,26,1,4,82
"1050",2008-11-15,52,46,141,34,2,4,67
"1051",2008-11-16,37,46,87,33,1,2,64
"1052",2008-11-17,67,33,115,31,3,3,81
"1053",2008-11-18,61,29,140,26,2,2,56
"1054",2008-11-19,66,28,123,40,1,3,60
"1055",2008-11-20,88,19,152,24,0,6,86
"1056",2008-11-21,84,50,143,45,2,0,60
"1057",2008-11-22,54,50,114,36,3,3,48
"1058",2008-11-23,34,37,83,28,3,3,51
"1059",2008-11-24,81,42,125,34,0,2,89
"1060",2008-11-25,60,25,133,33,1,4,74
"1061",2008-11-26,67,30,135,29,1,5,59
"1062",2008-11-27,38,39,60,28,2,5,24
"1063",2008-11-28,61,29,143,40,2,3,81
"1064",2008-11-29,49,45,116,32,0,2,74
"1065",2008-11-30,35,43,88,25,0,5,55
"1066",2008-12-01,74,46,207,41,3,14,72
"1067",2008-12-02,75,26,127,27,2,2,69
"1068",2008-12-03,80,27,129,32,1,1,56
"1069",2008-12-04,61,37,117,28,0,3,72
"1070",2008-12-05,84,21,131,42,2,2,80
"1071",2008-12-06,41,54,107,32,0,4,49
"1072",2008-12-07,29,54,85,33,1,5,56
"1073",2008-12-08,73,38,122,27,1,0,57
"1074",2008-12-09,65,40,140,34,0,0,74
"1075",2008-12-10,84,31,148,39,0,4,77
"1076",2008-12-11,63,35,117,40,0,4,77
"1077",2008-12-12,84,28,156,36,0,3,66
"1078",2008-12-13,49,59,128,23,2,3,40
"1079",2008-12-14,31,44,89,31,0,1,62
"1080",2008-12-15,68,32,152,37,1,1,68
"1081",2008-12-16,56,39,127,25,0,0,80
"1082",2008-12-17,62,40,132,23,1,4,72
"1083",2008-12-18,62,33,154,27,0,2,78
"1084",2008-12-19,73,25,134,21,1,1,71
"1085",2008-12-20,56,43,117,26,2,1,59
"1086",2008-12-21,30,48,112,29,2,2,52
"1087",2008-12-22,71,34,109,40,0,5,72
"1088",2008-12-23,73,29,147,33,0,0,96
"1089",2008-12-24,70,33,109,37,2,0,66
"1090",2008-12-25,34,61,50,26,2,4,41
"1091",2008-12-26,61,57,123,40,5,1,68
"1092",2008-12-27,50,50,106,40,3,6,45
"1093",2008-12-28,42,62,88,36,2,1,66
"1094",2008-12-29,55,44,129,40,2,1,77
"1095",2008-12-30,60,34,97,28,3,3,52
"1096",2008-12-31,69,23,132,36,4,6,65
"1097",2009-01-01,28,91,164,27,2,36,45
"1098",2009-01-02,50,38,88,28,0,1,62
"1099",2009-01-03,41,48,91,33,1,4,65
"1100",2009-01-04,20,35,68,27,0,2,39
"1101",2009-01-05,59,36,122,34,0,0,59
"1102",2009-01-06,50,27,104,23,1,3,48
"1103",2009-01-07,69,19,92,36,1,3,58
"1104",2009-01-08,67,36,114,25,1,1,59
"1105",2009-01-09,69,30,133,34,0,3,62
"1106",2009-01-10,36,35,83,23,2,3,46
"1107",2009-01-11,17,36,74,17,2,2,34
"1108",2009-01-12,75,38,107,32,1,1,54
"1109",2009-01-13,54,55,110,37,2,2,67
"1110",2009-01-14,57,33,114,35,0,2,51
"1111",2009-01-15,52,36,91,32,0,3,45
"1112",2009-01-16,52,35,124,35,1,3,63
"1113",2009-01-17,34,50,90,35,0,2,46
"1114",2009-01-18,40,48,78,33,2,2,51
"1115",2009-01-19,32,35,66,27,2,4,40
"1116",2009-01-20,43,31,99,34,1,3,64
"1117",2009-01-21,53,38,95,31,1,2,54
"1118",2009-01-22,53,33,93,25,1,4,41
"1119",2009-01-23,63,51,116,41,1,3,78
"1120",2009-01-24,36,44,97,41,1,2,57
"1121",2009-01-25,29,33,68,29,0,3,48
"1122",2009-01-26,58,45,71,32,0,0,58
"1123",2009-01-27,53,20,92,30,1,4,52
"1124",2009-01-28,41,23,92,25,2,2,49
"1125",2009-01-29,51,37,100,27,0,3,52
"1126",2009-01-30,58,38,103,30,1,6,50
"1127",2009-01-31,44,29,105,27,1,2,33
"1128",2009-02-01,23,54,121,35,2,9,39
"1129",2009-02-02,64,31,112,20,1,3,54
"1130",2009-02-03,49,36,79,18,0,1,37
"1131",2009-02-04,49,45,83,17,0,3,42
"1132",2009-02-05,31,19,76,20,0,1,40
"1133",2009-02-06,64,30,91,24,0,1,37
"1134",2009-02-07,42,48,93,29,4,6,55
"1135",2009-02-08,31,54,85,26,2,2,43
"1136",2009-02-09,43,47,81,21,0,1,58
"1137",2009-02-10,55,26,130,19,3,3,43
"1138",2009-02-11,58,36,103,23,1,0,52
"1139",2009-02-12,54,30,95,34,1,3,49
"1140",2009-02-13,67,40,119,30,2,2,50
"1141",2009-02-14,35,47,77,27,2,2,37
"1142",2009-02-15,29,47,79,27,0,5,30
"1143",2009-02-16,31,34,72,29,2,3,36
"1144",2009-02-17,55,34,92,26,1,1,40
"1145",2009-02-18,64,29,79,24,0,1,39
"1146",2009-02-19,41,28,100,28,1,2,36
"1147",2009-02-20,66,25,97,28,0,0,37
"1148",2009-02-21,34,41,90,32,1,7,38
